,_id,shopname,description,timetable,web,photo,location,address,district,neighbourhood,zip_code,type,tags,phone,product_list,nearest_stations
195,628290eba85a7a5a0184d210,el rebost de la fruita,"Fruita i verdura ecològica i la majoria de proximitat, les bosses que ofereixen per a la fruita i verdura són compostables.",,https://www.qdq.com/el-rebost-de-la-fruita-864606,https://i.pinimg.com/564x/52/76/a7/5276a7255d2cc0514b0af1dd8b55efc7.jpg,"[41.408812, 2.1728936]","Carrer de Padilla, 319",Eixample,Sagrada Família,08001,pharmacy,"['Herbalist', 'Pharmacy', 'Allows pets']",,,"{'10533': 2828.16, '10534': 2694.28, '6669': 3056.57, '11758': 1975.08}"
196,628290eba85a7a5a0184d211,Bio Sarrià,"Establiment on es poden trobar productes ecològics i d'altres de proximitat a granel. Amplia gamma de productes de neteja, higiene, alimentació i suplements.",,http://www.biosarria.com,https://i.pinimg.com/564x/ce/84/41/ce844160a3d2dd51382d52e955e05a50.jpg,"[41.3956246, 2.1253279]","Passatge de Senillosa, 1",Sarrià - Sant Gervasi,Sarrià,08034,pharmacy,"['Fruits & vegetables', 'Allows pets', 'Herbalist']",,,"{'10533': 3878.23, '6681': 2924.05, '6669': 2637.79, '11758': 2365.87, '10532': 1240.92}"
197,628290eba85a7a5a0184d212,Llegums Cuits Orrit,"Botiga on es poden comprar llegums cuits de diversos tipus, pasta i altres productes a granel. Molts dels productes són de proximitat i també en pots trobar de varietat ecològica.",,-,https://i.pinimg.com/564x/a8/0a/07/a80a079da685d1f7b99c21146b6e674d.jpg,"[41.4048127, 2.1656793]","Carrer de Sant Antoni Maria Claret, 35",Gràcia,Camp d'en Grassot i Gràcia Nova,08001,non-alimentation,"['Beverages', 'Plastic free', 'Allows pets']",,,"{'10533': 2787.07, '10534': 3241.31, '6669': 2380.47, '11758': 1227.59}"
198,628290eba85a7a5a0184d213,Nuda Market,"Establiment on es poden trobar tot tipus de productes alimentaris a granel, de proximitat i ecològics. ",,-,https://i.pinimg.com/564x/83/3b/9a/833b9a1f93b05d381bc442a45fca6197.jpg,"[41.4070488, 2.1576542]","Carrer de la Providencia, 64",Gràcia,Vila de Gràcia,08024,bar,"['Accessible', 'For children', 'Allows pets']",,,"{'10533': 2264.36, '10534': 3924.75, '6669': 2434.98, '11758': 989.82}"
199,628290eba85a7a5a0184d214,Barnaclip SCP,"Papereria on es venen productes elaborats a partir de paper reciclat (llibretes i agendes amb el certificat de reciclat), treballen amb empreses ""km0"" com Miquelrius o Busquets; recullen cartutxos de tòner per a reciclar i tenen alguns productes recarregables (bolígrafs i retoladors).<br />
<br />
 ",,https://empresite.eleconomista.es/BARNA-CLIP.html,https://i.pinimg.com/564x/fb/ef/60/fbef60ff298f65e2cb8757827aa1dfb7.jpg,"[41.3992269, 2.1768483]","Carrer del Consell de Cent, 468",Eixample,Fort Pienc,08013,fruits & vegetables,"['Plastic free', 'Accessible', 'Supermarket']",,,"{'10533': 3834.9, '10534': 2365.5, '6669': 2464.54, '11758': 1957.8}"
200,628290eba85a7a5a0184d215,Herboristeria Margarida Castaño,"Herboristeria amb productes d'alimentació ecològica, fruits secs, fruita i caramels a granel, productes de neteja ecològica i productes naturals. Bosses biodegradables.",,http://hermargarida.webcindario.com/,https://i.pinimg.com/564x/dd/a3/6e/dda36e4305073dba20a161b41987a5b3.jpg,"[41.4020844, 2.1836949]","Carrer de los Castillejos, 181",Eixample,Fort Pienc,08001,alimentation,"['Beverages', 'Second hand', 'Fruits & vegetables']",,,"{'10533': 3997.93, '10534': 1748.57, '6669': 3110.66, '11758': 2555.23}"
201,628290eba85a7a5a0184d216,Supermercat frooty,"Venta de productes a granel i envasats (alimentació, herbodietètica i neteja). El 95% de producte és ecològic, i tot el que és possible és de proximitat (sobretot la fruita i la verdura). Els envasos que ofereixen són de paper i cartró, no tenen plàstic.",,https://frooty.es/,https://i.pinimg.com/564x/71/d1/5b/71d15bfec596e1b7866ae3bc12e381d3.jpg,"[41.3955859, 2.1810363]","Carrer d'Ausiàs Marc, 113",Eixample,Fort Pienc,08013,alimentation,"['Recycled material', 'For children', 'Bakery']",,,"{'10534': 2165.21, '6669': 2540.08, '11758': 2333.0}"
202,628290eba85a7a5a0184d217,Saüc,"Botiga de roba i complements. <br />
Producte eco (roba i complements ecològics), tot el producte és de km 0, a més, tenen un elevat percentatge de productes amb etiquetatge de comerç just.",,https://www.saucbotiga.cat/,https://i.pinimg.com/564x/a8/0a/07/a80a079da685d1f7b99c21146b6e674d.jpg,"[41.3758531, 2.1383803]","Carrer de Riego, 9",Sants - Montjuïc,Sants,08014,cosmetics,"['Bar', 'Fruits & vegetables', 'Accessible']",,,"{'6681': 2041.8, '6669': 1665.13, '11758': 2836.41, '10532': 2330.18}"
203,628290eba85a7a5a0184d218,Homo Sibaris,Celler amb producte ecològic i de km 0 (vinsi cerveses). Cervesa a granel; disposen d'envàs reutilitzable).,,http://www.homosibaris.com/,https://i.pinimg.com/564x/52/76/a7/5276a7255d2cc0514b0af1dd8b55efc7.jpg,"[41.3762829, 2.1388288]","Plaça d'Osca, 4",Sants - Montjuïc,Sants,08001,beverages,"['Recycled material', 'Accessible', 'Green space']",,,"{'6681': 2091.81, '6669': 1605.95, '11758': 2777.04, '10532': 2335.55}"
204,628290eba85a7a5a0184d219,Kitikate,"Botiga de roba de nadó i complements. <br />
Tot el producte és ecològic (roba de cotó orgànic, tota porta el segell certificat ecològic).",,https://kitikate.es/,https://i.pinimg.com/564x/71/d1/5b/71d15bfec596e1b7866ae3bc12e381d3.jpg,"[41.3750989, 2.1408029]","Carrer de Joanot Martorell, 2",Sants - Montjuïc,Sants,08001,herbalist,"['Restaurant', 'Beverages', 'Vegan food']",,,"{'6681': 2215.12, '6669': 1573.75, '11758': 2830.91, '10532': 2545.22}"
